name,setting,unit,short_desc,reset_val
polar_px_enable_insert_order_sensitive,on,,This guc allows parallel insert need ordered.,on
polar_px_enable_insert_partition_table,off,,This guc allows Insert partition table select on px.,off
polar_px_enable_insert_select,off,,This guc allows Insert....select on px.,off
polar_px_enable_join,on,,Enable px_enable_join.,on
polar_px_enable_left_index_nestloop_join,off,,This guc allows px support left outer index nestloop join.,off
polar_px_enable_opfamily_for_distribution,on,,Allow to use pg_opfamily for hash redistribute.,on
polar_px_enable_partitionwise_join,off,,This guc allows partition wise join in PX.,off
polar_px_enable_print,on,,Enable px print query string on px.,on
polar_px_enable_relsize_collection,off,,This guc enables relsize collection when stats are not present. If disabled and stats are not present a default value is used.,off
polar_px_enable_result_hash_filter,on,,This guc allows px support hash filter in result,on
polar_px_enable_spi_read_all_namespaces,off,,Allow px workers to read all tables in SPI.,off
polar_px_enable_subquery,on,,Enable px_enable_subquery.,on
polar_px_enable_update,off,,This guc allows parallel update.,off
polar_px_enable_window_function,on,,Enable px window function.,on
polar_px_explain_memory_verbosity,suppress,,Experimental feature: show memory account usage in EXPLAIN ANALYZE.,suppress
polar_px_ignore_function,"1574,1575,1576,1765,3078,4032",,Add the PolarDB PX functions oids that should be ignored.,"1574,1575,1576,1765,3078,4032"
polar_px_ignore_unusable_nodes,off,,Whether PolarDB PX skip unusable nodes,off
polar_px_log_dispatch_stats,off,,Writes dispatcher performance statistics to the server log.,off
polar_px_max_plan_size,0,kB,Sets the maximum size of a plan to be dispatched.,0
polar_px_max_slices,50,,Maximum slices for a single query,50
polar_px_motion_cost_per_row,0,,Sets the planner's estimate of the cost of moving a row between worker processes.,0
polar_px_nodes,"",,"Sets px worker nodes, separated by comma",""
polar_px_optimizer_enable_bitmapscan,on,,Enables the planner's use of bitmap-scan plans.,on
polar_px_optimizer_enable_brinscan,on,,Enables the planner's use of brin index-scan plans.,on
polar_px_optimizer_enable_dynamicshareindexscan,on,,Enables the planner's use of partition share index scan plans.,on
polar_px_optimizer_enable_indexonlyscan,on,,Enables the planner's use of indexonly-scan plans.,on
polar_px_optimizer_enable_indexscan,on,,Enables the planner's use of index-scan plans.,on
polar_px_optimizer_enable_relsize_collection,off,,This guc enables relsize collection when stats are not present. If disabled and stats are not present a default value is used.,off
polar_px_optimizer_enable_seqscan,on,,Enables the planner's use of sequential-scan plans.,on
polar_px_optimizer_enable_seqsharescan,on,,Enables the planner's use of sequential-share-scan plans.,on
polar_px_optimizer_enable_shareindexscan,on,,Enables the planner's use of share index scan plans.,on
polar_px_optimizer_remove_superfluous_order,on,,This guc remove superfluous order,on
polar_px_optimizer_use_px_allocators,off,,Enable px_optimizer_use_px_allocators.,off
polar_px_scan_unit_size,512,8kB,Sets size of scan unit when using Parallel Execution,512
polar_px_udpic_enable_ipv6,off,,enable udpic ipv6,off
polar_px_use_master,off,,Whether PolarDB PX use master,off
polar_px_use_standby,off,,Whether PolarDB PX use standby,off
polar_px_version,PolarDB PX version 1.1,,Show the PolarDB PX version.,PolarDB PX version 1.1
polar_px_wait_lock_timeout,3600000,ms,Sets the maximum time (in milliseconds) to wait on a lock held by PX process.,3600000
polar_px_worker_connect_timeout,180,s,Maximum time (in seconds) allowed for a new worker process to start or a mirror to respond.,180
polar_read_ahead_xlog_num,20,8kB,How many xlog pages are read ahead. A value of 0 turns off this feature.,20
polar_recovery_bulk_extend_size,512,8kB,Sets the size for bulk file extension while replaying xlog on standby (0 turns this feature off).,512
polar_rel_size_cache_blocks,2,,Set the number of blocks to record relation size cache,2
polar_release_date,20240430,,Show the server release date.,20240430
polar_rename_wal_ready_file,"",,rename file under /pfs-disk/data/pg_wal/archive_status from .ready to .done,""
polar_repl_slots_reserved_for_superuser,32,,Sets the num of replication slots reserved for superuser.,32
polar_replica_redo_gap_limit,1048576,kB,"gap limit between local redoptr and shared redoptr for replica, copy base dirs and other trans status log files when gap exceeds the limit",1048576
polar_reserved_polar_super_conns,8,,A switch to control number of max connections allowed for polar_super users,8
polar_ring_buffer_vacuum,128,MB,polar_ring_buffer_vacuum,128
polar_save_stack_info_level,fatal,,print stack info if error level is above stack info level.,fatal
polar_semi_sync_max_backoff_window,1024000,ms,Sets the maximum value of semi-synchronous replication backoff window.,1024000
polar_semi_sync_min_backoff_window,8000,ms,Sets the minimum initial value of the semi-synchronous replication backoff window.,8000
polar_semi_sync_observation_window,300000,ms,The maximum window time to observe whether the network is healthy.,300000
polar_shm_limit,0,8kB,Sets the size of hugepage used by the server.,0
polar_ss_backend_idle_timeout,180,s,"Sets the maximum allowed idle timeout of shared server(backend). If it reaches threshold, it is shut down peacefully.",180
polar_ss_backend_keepalive_timeout,0,s,"Sets the maximum allowed killalive timeout of shared server(backend) since created. If it reaches threshold, it is shut down peacefully.",0
polar_ss_backend_max_count,-5,,Sets max count of total shared backend.,-5
polar_ss_backend_pool_min_size,0,,Sets min size of shared backend pool without idle timeout considering,0
polar_ss_client_schedule_policy,load-balancing,,"Client schedule policy between dispatchers: round-robin, random, load-balancing",load-balancing
polar_ss_db_role_setting_max_size,100,,Sets max rolw count of pg_db_role_setting. Only valid when polar_enable_shared_server is on.,100
polar_ss_dedicated_dbuser_names,"",,"db/user will use dedicated mode in shared server, format like 'd1/*,*/u1,d2/u2'",""
polar_ss_dedicated_extension_names,"",,"extension will use dedicated mode in shared server, extension name from pg_proc.probin",""
polar_ss_dedicated_guc_names,"",,guc will not session cached in shared server,""
polar_ss_dispatcher_count,2,,Sets count of connection dispatcher.,2
polar_ss_session_schedule_policy,fifo,,"Session schedule policy between backend: fifo, random, disposable, dedicated",fifo
polar_ss_session_wait_timeout,5000,ms,Sets the maximum allowed wait time(milliseconds) of any session for new backend.,5000
polar_ss_shared_memory_size,1024,kB,Sets the shared memory for polar shared server,1024
polar_standby_feedback,off,,polar standby use this parameter to make hot_standby_feedback off,off
polar_stat_sql.enable_gather_plan_info,off,,Whether to gather plan nodes info,off
polar_stat_sql.enable_getrusage,off,,Whether to enable getuage,off
polar_stat_sql.enable_plan_need_time,off,,Whether to gather plan nodes need time information,off
polar_stat_sql.enable_qps_monitor,off,,Selects whether to monitor qps ,off
polar_stat_sql.enable_stat,off,,Whether to enable the extension,off
polar_stat_sql.linux_hz,500000,,Inform polar_stat_sql of the linux CONFIG_HZ config option,500000
polar_stat_sql.sample_rate,0.5,,"Sampling rate. 1 means every query, 0.2 means 1 in five queries",0.5
polar_stat_sql.save,off,,Save polar statistics for across server shutdowns.,off
polar_stat_stale_cost,0,,Add some extra cost to reduce the impact of stale statistics 0.01 should be a good value to start with,0
polar_storage_cluster_name,"",,polar storage cluster name,
polar_subtrans_buffer_slot_size,32,,polar_subtrans_buffer_slot_size.,32
polar_supported_extensions,"pg_stat_statements
btree_gin
btree_gist
citext
cube
dict_int
earthdistance
hstore
intagg
intarray
isn
ltree
pgcrypto
pgrowlocks
pg_prewarm
pg_trgm
sslinfo
tablefunc
unaccent
fuzzystrmatch
pgstattuple
pg_buffercache
""uuid-ossp""
bloom
smlar
vector
plpgsql
plperl
postgis
postgis_raster
postgis_topology
postgis_sfcgal
fuzzystrmatch
address_standardizer
address_standardizer_data_us
postgis_tiger_geocoder
polar_csn
polar_monitor
polar_monitor_preload
polar_px",,The list of supported extensions that are allowed to create by polar users.,
polar_sync_rep_timeout_break_lsn_lag,8192,B,"Sets the minimal lag between each process and timeout synchronous replication flush or write or apply lsn, in bytes.",8192
polar_sync_replication_timeout,0,ms,Sets the maximum time to wait for WAL synchronous replication.,0
polar_temp_relation_file_in_shared_storage,off,,Force temp relation file in remote storage.,off
polar_trace_heap_scan_flow,off,,Print heap scan debug log if necessary,off
polar_trace_lock_flow,off,,Print all log when try to acquire or release lock,off
polar_trace_logindex_messages,log,,Enables logging of logindex-related debugging information.,log
polar_trace_system_table,off,,Trace locks set on system table,off
polar_unit_test_mem_size,0,MB,Set additional shared memory size for unit test,0
polar_version,1.1.20,,Show the PolarDB server version.,1.1.20
polar_vfs.debug,off,,turn on debug switch or not,off
polar_vfs.enable_file_size_cache,on,,enable file size cache,on
polar_vfs.enable_io_time_stat,on,,pfs force mount mode when ro switch rw,on
polar_vfs.localfs_mode,off,,enter localfs mode,off
polar_vfs.localfs_test_mode,off,,enter localfs mode,off
polar_vfs.pfs_force_mount,on,,pfs force mount mode when ro switch rw,on
polar_wait_before_shutdown_timeout,0,,"PolarDB wait before shutdown timeout, in seconds.",0
polar_wal_buffer_insert_locks,64,,Set the number of locks for wal buffer insert,64
polar_wal_pipeline_advance_worker_spin_delay,0,,Set spin delay of advance worker for wal pipeline,0
polar_wal_pipeline_advance_worker_timeout,10,,Set timeout of advance worker for wal pipeline,10
polar_wal_pipeline_advance_worker_write_max_size,0,,Set max wal size per advance of advance worker for wal pipeline,0
polar_wal_pipeline_commit_wait_spin_delay,0,,Set commit wait spin delay for wal pipeline,0
polar_wal_pipeline_commit_wait_timeout,10000,,Set commit wait timeout for wal pipeline,10000
polar_wal_pipeline_flush_event_array_size,128,,Set flush event array size for wal pipeline,128
polar_wal_pipeline_flush_event_slot_size,1024,,Set flush event slot size for wal pipeline,1024
polar_wal_pipeline_flush_worker_spin_delay,0,,Set spin delay of flush worker for wal pipeline,0
polar_wal_pipeline_flush_worker_timeout,10000,,Set timeout of flush worker for wal pipeline,10000
polar_wal_pipeline_mode,2,,Set mode for wal pipeline,2
polar_wal_pipeline_notify_worker_num,1,,Set the number of notify worker for wal pipeline,1
polar_wal_pipeline_notify_worker_spin_delay,0,,Set spin delay of notify worker for wal pipeline,0
polar_wal_pipeline_notify_worker_timeout,10,,Set timeout of notify worker for wal pipeline,10
polar_wal_pipeline_recent_written_array_size,1048576,,Set recent written array size for wal pipeline,1048576
polar_wal_pipeline_unflushed_xlog_array_size,1024,,Set unflushed xlog array size for wal pipeline,1024
polar_wal_pipeline_wait_timeout,10,,Set default wait timeout for wal pipeline,10
polar_wal_pipeline_write_worker_spin_delay,0,,Set spin delay of write worker for wal pipeline,0
polar_wal_pipeline_write_worker_timeout,10000,,Set timeout of write worker for wal pipeline,10000
polar_wal_snd_reserved_for_superuser,32,,Sets the maximum number of walsenders reserved for superuser.,32
polar_worker.core_file_outdate_time,-1,,outdate time of core file.,-1
polar_worker.core_file_path,.,,path of core file,.
polar_worker.core_name_suffix,core,,To assign corefile name.,core
polar_worker.enable_polar_worker,on,,Starts worker or not.,on
polar_worker.num_corefile_reserved_new,32,,num of newest reserverd corefile.,32
polar_worker.num_corefile_reserved_old,32,,num of oldest reserverd corefile.,32
polar_worker.polar_worker_check_interval,5,s,Sets the interval between polar worker check,5
polar_worker.prealloc_flashback_log_file_num,2,,Sets the num of how many prealloc flashback log file,2
polar_worker.prealloc_wal_file_num,2,,Sets the num of how many prealloc wal file,2
polar_worker.xlog_temp_outdate_time,-1,,outdate time of xlog temp.,-1
polar_workers_per_flashback_table,5,,Set the max number of the background workers for each flashback table operation.,5
polar_xact_split_wait_lsn,"",,xact id of current split transaction.,
polar_xact_split_xids,"",,xact id of current split transaction.,
polar_xlog_page_buffers,1024,MB,Sets the size of xlog buffer used by startup and backedn in replica and standby mode.,1024
polar_xlog_queue_buffers,512,MB,Sets the size of xlog queue buffer used to keep xlog meta. 0 means disable xlog buffer,512
port,5432,,Sets the TCP port the server listens on.,5432
post_auth_delay,0,s,Waits N seconds on connection startup after authentication.,0
pre_auth_delay,0,s,Waits N seconds on connection startup before authentication.,0
quote_all_identifiers,off,,"When generating SQL fragments, quote all identifiers.",off
random_page_cost,1.1,,Sets the planner's estimate of the cost of a nonsequentially fetched disk page.,1.1
restart_after_crash,on,,Reinitialize server after backend crash.,on
row_security,on,,Enable row security.,on
search_path,"""$user"", public",,Sets the schema search order for names that are not schema-qualified.,"""$user"", public"
segment_size,131072,8kB,Shows the number of pages per disk file.,131072
seq_page_cost,0.2,,Sets the planner's estimate of the cost of a sequentially fetched disk page.,0.2
server_encoding,UTF8,,Sets the server (database) character set encoding.,UTF8
server_version,11.9,,Shows the server version.,11.9
server_version_num,110009,,Shows the server version as an integer.,110009
session_preload_libraries,"",,Lists shared libraries to preload into each backend.,""
session_replication_role,origin,,Sets the session's behavior for triggers and rewrite rules.,origin
shared_buffers,131072,8kB,Sets the number of shared memory buffers used by the server.,131072
shared_preload_libraries,"",,Lists shared libraries to preload into server.,""
smgr_pool_sweep_times,8,,"Sets the times for smgr pool to clock sweep, 0 means always uses a random cache",8
smgr_shared_relations,128,,Sets the number of shared relation objects in memory at one time.,128
ssl,off,,Enables SSL connections.,off
ssl_ca_file,"",,Location of the SSL certificate authority file.,""
ssl_cert_file,server.crt,,Location of the SSL server certificate file.,server.crt
ssl_ciphers,HIGH:MEDIUM:+3DES:!aNULL,,Sets the list of allowed SSL ciphers.,HIGH:MEDIUM:+3DES:!aNULL
ssl_crl_file,"",,Location of the SSL certificate revocation list file.,""
ssl_dh_params_file,"",,Location of the SSL DH parameters file.,""
ssl_ecdh_curve,prime256v1,,Sets the curve to use for ECDH.,prime256v1
ssl_key_file,server.key,,Location of the SSL server private key file.,server.key
ssl_passphrase_command,"",,Command to obtain passphrases for SSL.,""
ssl_passphrase_command_supports_reload,off,,Also use ssl_passphrase_command during server reload.,off
ssl_prefer_server_ciphers,on,,Give priority to server ciphersuite order.,on
standard_conforming_strings,on,,Causes '...' strings to treat backslashes literally.,on
statement_timeout,0,ms,Sets the maximum allowed duration of any statement.,0
stats_temp_directory,pg_stat_tmp,,Writes temporary statistics files to the specified directory.,pg_stat_tmp
superuser_reserved_connections,3,,Sets the number of connection slots reserved for superusers.,3
synchronize_seqscans,on,,Enable synchronized sequential scans.,on
synchronous_commit,on,,Sets the current transaction's synchronization level.,on
synchronous_standby_names,"",,Number of synchronous standbys and list of names of potential synchronous ones.,""
syslog_facility,local0,,"Sets the syslog ""facility"" to be used when syslog enabled.",local0
syslog_ident,postgres,,Sets the program name used to identify PostgreSQL messages in syslog.,postgres
syslog_sequence_numbers,on,,Add sequence number to syslog messages to avoid duplicate suppression.,on
syslog_split_messages,on,,Split messages sent to syslog by lines and to fit into 1024 bytes.,on
tcp_keepalives_count,9,,Maximum number of TCP keepalive retransmits.,0
tcp_keepalives_idle,7200,s,Time between issuing TCP keepalives.,0
tcp_keepalives_interval,75,s,Time between TCP keepalive retransmits.,0
temp_buffers,1024,8kB,Sets the maximum number of temporary buffers used by each session.,1024
temp_file_limit,-1,kB,Limits the total size of all temporary files used by each process.,-1
temp_tablespaces,"",,Sets the tablespace(s) to use for temporary tables and sort files.,""
TimeZone,Asia/Shanghai,,Sets the time zone for displaying and interpreting time stamps.,Asia/Shanghai
timezone_abbreviations,Default,,Selects a file of time zone abbreviations.,Default
trace_lock_oidmin,16384,,Sets the minimum OID of tables for tracking locks.,16384
trace_lock_table,0,,Sets the OID of the table with unconditionally lock tracing.,0
trace_locks,off,,Emits information about lock usage.,off
trace_notify,off,,Generates debugging output for LISTEN and NOTIFY.,off
trace_recovery_messages,log,,Enables logging of recovery-related debugging information.,log
trace_sort,off,,Emit information about resource usage in sorting.,off
trace_userlocks,off,,Emits information about user lock usage.,off
track_activities,on,,Collects information about executing commands.,on
track_activity_query_size,1024,B,"Sets the size reserved for pg_stat_activity.query, in bytes.",1024
track_commit_timestamp,off,,Collects transaction commit time.,off
track_counts,on,,Collects statistics on database activity.,on
track_functions,none,,Collects function-level statistics on database activity.,none
track_io_timing,off,,Collects timing statistics for database I/O activity.,off
transaction_deferrable,off,,Whether to defer a read-only serializable transaction until it can be executed with no possible serialization failures.,off
transaction_isolation,read committed,,Sets the current transaction's isolation level.,default
transaction_read_only,off,,Sets the current transaction's read-only status.,off
transform_null_equals,off,,"Treats ""expr=NULL"" as ""expr IS NULL"".",off
unix_socket_directories,/tmp,,Sets the directories where Unix-domain sockets will be created.,/tmp
unix_socket_group,"",,Sets the owning group of the Unix-domain socket.,""
unix_socket_permissions,0777,,Sets the access permissions of the Unix-domain socket.,511
update_process_title,on,,Updates the process title to show the active SQL command.,on
vacuum_cleanup_index_scale_factor,0.1,,Number of tuple inserts prior to index cleanup as a fraction of reltuples.,0.1
vacuum_cost_delay,0,ms,Vacuum cost delay in milliseconds.,0
vacuum_cost_limit,200,,Vacuum cost amount available before napping.,200
vacuum_cost_page_dirty,20,,Vacuum cost for a page dirtied by vacuum.,20
vacuum_cost_page_hit,1,,Vacuum cost for a page found in the buffer cache.,1
vacuum_cost_page_miss,10,,Vacuum cost for a page not found in the buffer cache.,10
vacuum_defer_cleanup_age,0,,"Number of transactions by which VACUUM and HOT cleanup should be deferred, if any.",0
vacuum_freeze_min_age,50000000,,Minimum age at which VACUUM should freeze a table row.,50000000
vacuum_freeze_table_age,150000000,,Age at which VACUUM should scan whole table to freeze tuples.,150000000
vacuum_multixact_freeze_min_age,5000000,,Minimum age at which VACUUM should freeze a MultiXactId in a table row.,5000000
vacuum_multixact_freeze_table_age,150000000,,Multixact age at which VACUUM should scan whole table to freeze tuples.,150000000
wal_block_size,8192,,Shows the block size in the write ahead log.,8192
wal_buffers,2048,8kB,Sets the number of disk-page buffers in shared memory for WAL.,2048
wal_compression,off,,Compresses full-page writes written in WAL file.,off
wal_consistency_checking,"",,Sets the WAL resource managers for which WAL consistency checks are done.,""
wal_keep_segments,0,,Sets the number of WAL files held for standby servers.,0
wal_level,replica,,Set the level of information written to the WAL.,replica
wal_log_hints,off,,"Writes full pages to WAL when first modified after a checkpoint, even for a non-critical modifications.",off
wal_receiver_status_interval,10,s,Sets the maximum interval between WAL receiver status reports to the primary.,10
wal_receiver_timeout,60000,ms,Sets the maximum wait time to receive data from the primary.,60000
wal_recycle,on,,Recycles WAL files by renaming them.,on
wal_retrieve_retry_interval,5000,ms,Sets the time to wait before retrying to retrieve WAL after a failed attempt.,5000
wal_segment_size,16777216,B,Shows the size of write ahead log segments.,16777216
wal_sender_timeout,60000,ms,Sets the maximum time to wait for WAL replication.,60000
wal_sync_method,fdatasync,,Selects the method used for forcing WAL updates to disk.,fdatasync
wal_writer_delay,50,ms,Time between WAL flushes performed in the WAL writer.,50
wal_writer_flush_after,128,8kB,Amount of WAL written out by WAL writer that triggers a flush.,128
work_mem,65536,kB,Sets the maximum memory to be used for query workspaces.,65536
xmlbinary,base64,,Sets how binary values are to be encoded in XML.,base64
xmloption,content,,Sets whether XML data in implicit parsing and serialization operations is to be considered as documents or content fragments.,content
zero_damaged_pages,off,,Continues processing past damaged page headers.,off
